S,I,M1 k1,M2 k1,M1 k2,M2 k2
1,59,0,18,9,9
1,60,0,20.625,0,17.75
1,61,0,20.16666667,0,21.66666667
1,64,0,24,0,14
1,66,0,20.9375,0,21.625
1,68,0,19.5,0,18.77777778
1,69,0,19.25,0,19.25
1,71,0,19.75,0,20.44444444
1,72,0,22,0,0
1,73,0,19.5,0,14
1,74,0,21,0,18.5
1,78,0,7,0,0
1,81,0,22,0,23
1,82,0,15.33333333,0,19
1,84,0,21.28571429,0,25.14285714
1,85,0,32,0,0
1,87,0,24.85714286,0,17.33333333
1,88,0,10,0,0
1,97,0,20.5,0,18
1,98,0,19,0,0
1,104,0,19.28571429,0,19.33333333
1,107,0,22.33333333,0,18
1,110,0,24,0,16
1,130,0,17,0,0
1,136,19.66666667,23.25,21,18.5
2,51,0,14,0,18
2,57,0,22.25,0,20
2,59,9,9,0,0
2,60,0,23,0,0
2,68,0,20.25,0,19.83333333
2,69,0,29,0,28
2,70,0,20.3125,0,22.625
2,71,0,14,0,0
2,73,0,30,0,0
2,74,0,17,0,0
2,75,0,18.5,0,22.5
2,76,0,14.75,0,27.5
2,77,0,15.5,0,12
2,78,0,18.8,0,19.5
2,79,0,19,0,0
2,85,0,17,0,26
2,88,0,19.5,0,10
2,90,0,23,0,0
2,91,0,15.33333333,0,39
2,94,0,22.375,0,23.5
2,98,0,15,0,19
2,99,0,23,0,18
2,103,0,23.5,0,22
2,104,0,17.66666667,0,21.83333333
2,109,0,15,0,0
2,110,0,29,0,0
2,132,9,11.5,9,9
2,135,0,18.0625,0,19.33333333
2,141,0,18.91666667,0,19.5
2,146,0,34.5,0,28
3,48,0,18.5,6,12
3,52,0,28,0,18
3,62,0,19.6,0,20
3,73,0,22,0,27.5
3,74,0,18.66666667,0,15
3,78,0,21.8125,0,25.875
3,79,0,22,0,13
3,82,0,22,0,27
3,85,0,19.81818182,0,17.8
3,86,0,18.8,0,21.5
3,88,0,14.25,0,15
3,89,0,20,0,21
3,91,0,18,0,0
3,92,0,20.7,0,20.6
3,95,0,11,0,0
3,96,0,23,0,0
3,97,0,17.5,0,18
3,98,0,16.5,0,21
3,100,0,20.83333333,0,15.33333333
3,108,0,23.1,0,21.4
3,129,8,11.5,8,12
3,132,0,19.5,0,25.5
3,139,0,22.75,0,26.2
3,143,0,20,0,19.66666667
4,51,0,15.8,15,21.5
4,54,0,20,0,21
4,61,0,20.8125,0,20.66666667
4,66,0,23.375,0,17.75
4,68,0,18.14285714,0,23
4,69,0,20.33333333,0,19
4,73,0,22,0,21.25
4,75,0,30,0,42
4,77,0,20.54545455,0,22
4,78,0,7,0,0
4,79,0,23,0,22.5
4,80,0,17.25,0,14
4,82,0,18,0,21
4,83,0,17.4,0,22
4,84,0,29,0,0
4,85,0,19.125,0,14.25
4,87,0,19.375,0,22.44444444
4,88,0,24.5,0,20
4,93,0,11,0,0
4,94,0,17,0,0
4,98,0,16,0,15
4,102,0,20.2,0,16.6
4,104,0,22.5,0,13
4,107,0,20,0,0
4,108,18,19.5,18,28
4,109,0,17.2,0,18.14285714
4,113,38,27,0,17
4,114,24,17.4,20,21.2
5,53,0,15,0,24
5,57,0,18.5,0,21.2
5,60,0,20,0,18.8
5,62,0,18.28571429,9,17.57142857
5,63,0,18.25,0,14.75
5,64,0,22.3,0,17.6
5,65,0,20.16666667,0,19.83333333
5,67,0,13,0,9
5,68,0,19,0,20
5,70,0,21.16666667,0,20.5
5,71,0,25,0,15
5,72,0,11,0,0
5,73,0,21.35714286,0,21.14285714
5,74,0,21.5,0,22
5,75,0,21.6,0,14
5,77,0,20.75,0,19.5
5,78,0,23.42857143,0,20.71428571
5,80,0,19.36363636,0,20.6
5,81,0,22.125,0,24.5
5,84,0,25.5,0,20
5,85,0,18.625,0,16.5
5,86,0,18.5,0,22
5,87,0,23.5,0,23
5,89,0,26,0,21
5,91,0,21.625,0,19.5
5,92,0,8,0,0
5,98,0,17.16666667,0,18.83333333
5,100,0,14.75,0,17.5
5,101,0,17.5,0,21
5,106,0,14,0,0
5,108,11,24,0,23
5,132,0,17,9,14
5,139,0,23.78571429,0,19.42857143
5,142,0,17.6875,0,19.22222222
6,52,4,29,0,0
6,56,0,23.5,0,19
6,66,0,27.5,0,24
6,67,0,9,0,0
6,68,0,15,0,14
6,69,0,19.25,0,18
6,70,0,21,0,16
6,71,0,18.66666667,0,11.33333333
6,73,0,21.5,0,23
6,75,0,22,0,14
6,80,0,19.0625,0,19.9
6,82,0,19.16666667,0,15.83333333
6,85,0,20,0,15
6,89,0,36.5,0,27
6,93,0,16.33333333,0,27
6,94,0,11,0,0
6,97,0,18,0,0
6,114,0,16,0,17
6,122,0,13,0,0
6,140,0,21,0,17.25
